### BDSIM output created Fri Jun 28 09:34:48 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 4000 529.04 -652.064 807.301 -2.42765e-05 8.3593e-07
2212 4000 523.717 -651.88 807.521 -2.42765e-05 8.3593e-07
2212 4000 521.047 -651.788 807.631 -2.42765e-05 8.3593e-07
2212 4000 501.043 -651.1 808.455 -2.42765e-05 8.3593e-07
2212 4000 486.623 -650.603 809.049 -2.42765e-05 8.3593e-07
2212 4000 478.854 -650.336 809.369 -2.42765e-05 8.3593e-07
2212 4000 471.62 -650.087 809.667 -2.42765e-05 8.3593e-07
2212 4000 414.947 -620.849 812.767 -1.2538e-05 1.78971e-05
2212 4000 412.935 -617.976 812.927 -1.2538e-05 1.78971e-05
2212 4000 407.241 -609.847 813.381 -1.25448e-05 1.79134e-05
2212 4000 399.124 -598.257 814.028 -1.25448e-05 1.79134e-05
2212 4000 385.278 -578.485 815.132 -1.25448e-05 1.79134e-05
2212 4000 205.921 -322.322 829.432 -1.25398e-05 1.79134e-05
2212 4000 203.172 -318.395 829.651 -1.25398e-05 1.79134e-05
2212 4000 201.792 -316.425 829.761 -1.25398e-05 1.79134e-05
2212 4000 193.058 -303.948 830.458 -1.25398e-05 1.79134e-05
2212 4000 188.861 -297.951 830.792 -1.25398e-05 1.79134e-05
2212 4000 9.57846 -41.7902 845.092 -1.25345e-05 1.79133e-05
2212 4000 6.83031 -37.8627 845.312 -1.25345e-05 1.79133e-05
2212 4000 5.45152 -35.8923 845.422 -1.25345e-05 1.79133e-05
2212 4000 -7.47463 -17.4192 846.453 -1.25345e-05 1.79133e-05
2212 4000 -186.678 238.741 860.753 -1.25288e-05 1.79133e-05
2212 4000 -189.425 242.669 860.972 -1.25288e-05 1.79133e-05
2212 4000 -190.803 244.639 861.082 -1.25288e-05 1.79133e-05
2212 4000 -201.126 259.4 861.906 -1.25288e-05 1.79133e-05
2212 4000 -208.569 270.04 862.5 -1.25288e-05 1.79133e-05
2212 4000 -212.578 275.772 862.82 -1.25288e-05 1.79133e-05
2212 4000 -216.311 281.11 863.118 -1.25288e-05 1.79133e-05
2212 4000 -245.317 349.675 866.218 -6.04943e-06 2.66403e-05
2212 4000 -246.288 353.951 866.379 -6.04943e-06 2.66403e-05
2212 4000 -249.034 366.045 866.833 -6.0481e-06 2.66368e-05
2212 4000 -252.947 383.279 867.48 -6.0481e-06 2.66368e-05
2212 4000 -257.598 403.763 868.249 -6.0481e-06 2.66368e-05
2212 4000 -259.622 412.679 868.583 -6.0481e-06 2.66368e-05
2212 4000 -346.068 793.585 882.883 -6.04203e-06 2.66367e-05
2212 4000 -347.392 799.425 883.103 -6.04203e-06 2.66367e-05
2212 4000 -348.057 802.356 883.213 -6.04203e-06 2.66367e-05
2212 4000 -354.288 829.825 884.244 -6.04203e-06 2.66367e-05
2212 4000 -440.645 1210.73 898.544 -6.03578e-06 2.66366e-05
2212 4000 -441.969 1216.57 898.763 -6.03578e-06 2.66366e-05
2212 4000 -442.633 1219.5 898.873 -6.03578e-06 2.66366e-05
2212 4000 -446.837 1238.05 899.57 -6.03578e-06 2.66366e-05
2212 4000 -448.857 1246.97 899.904 -6.03578e-06 2.66366e-05
2212 4000 -535.124 1627.87 914.204 -6.02936e-06 2.66365e-05
2212 4000 -536.446 1633.71 914.424 -6.02936e-06 2.66365e-05
2212 4000 -537.109 1636.64 914.534 -6.02936e-06 2.66365e-05
2212 4000 -542.078 1658.59 915.358 -6.02936e-06 2.66365e-05
2212 4000 -545.659 1674.41 915.952 -6.02936e-06 2.66365e-05
2212 4000 -547.588 1682.94 916.272 -6.02936e-06 2.66365e-05
2212 4000 -549.385 1690.87 916.57 -6.02936e-06 2.66365e-05
2212 4000 -591.196 1702.91 919.67 -2.11311e-05 -1.89219e-05
2212 4000 -594.588 1699.88 919.83 -2.11311e-05 -1.89219e-05
2212 4000 -604.203 1691.3 920.284 -2.12129e-05 -1.8856e-05
