@ NAME             %09s "MAP_TABLE"
@ TYPE             %07s "MAP_TAB"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.04.01 Darwin 64"
@ DATE             %08s "06/09/18"
@ TIME             %08s "11.03.12"
* NAME                                 COEF   N_VECTOR         NV      ORDER         NX        NXP         NY        NYP    NDELTAP         NT 
$ %s                                    %le         %d         %d         %d         %d         %d         %d         %d         %d         %d 
 "C1_500100"          3.770285748266390e+02          1          5          6          5          0          0          1          0          0
 "C1_500010"          3.083180812965419e+10          1          5          6          5          0          0          0          1          0
 "C1_420000"         -4.946728789919920e+13          1          5          6          4          2          0          0          0          0
 "C1_411000"         -2.066721311591890e+04          1          5          6          4          1          1          0          0          0
 "C1_410100"         -2.534322925926281e+06          1          5          6          4          1          0          1          0          0
 "C1_410010"          7.477084459006793e+12          1          5          6          4          1          0          0          1          0
 "C1_402000"          1.655578674813266e+10          1          5          6          4          0          2          0          0          0
 "C1_401100"         -2.334964675169761e+12          1          5          6          4          0          1          1          0          0
 "C1_401010"          3.536673306623167e+09          1          5          6          4          0          1          0          1          0
 "C1_400200"          7.136993192863655e+13          1          5          6          4          0          0          2          0          0
 "C1_400110"         -4.021402311851127e+11          1          5          6          4          0          0          1          1          0
 "C1_400020"         -7.250913760574812e+10          1          5          6          4          0          0          0          2          0
 "C1_330000"         -1.039114991163178e+15          1          5          6          3          3          0          0          0          0
 "C1_321000"         -1.315692184085224e+05          1          5          6          3          2          1          0          0          0
 "C1_320100"         -2.133518270204246e+08          1          5          6          3          2          0          1          0          0
 "C1_320010"          6.055738098043476e+14          1          5          6          3          2          0          0          1          0
 "C1_312000"          2.068877351567207e+12          1          5          6          3          1          2          0          0          0
 "C1_311100"         -2.415294038026639e+14          1          5          6          3          1          1          1          0          0
 "C1_311010"          7.361769250991260e+11          1          5          6          3          1          1          0          1          0
 "C1_310200"          6.301848222959744e+15          1          5          6          3          1          0          2          0          0
 "C1_310110"         -5.332772028354108e+13          1          5          6          3          1          0          1          1          0
 "C1_310020"         -1.619438534307903e+13          1          5          6          3          1          0          0          2          0
 "C1_303000"         -3.532644940723713e+02          1          5          6          3          0          3          0          0          0
 "C1_302100"          6.519284691121785e+04          1          5          6          3          0          2          1          0          0
 "C1_302010"         -4.073056122429680e+10          1          5          6          3          0          2          0          1          0
 "C1_301200"         -2.883433323293517e+06          1          5          6          3          0          1          2          0          0
 "C1_301110"          7.397315271443708e+12          1          5          6          3          0          1          1          1          0
 "C1_301020"         -4.473464604523909e+09          1          5          6          3          0          1          0          2          0
 "C1_300300"          6.006481356512060e+07          1          5          6          3          0          0          3          0          0
 "C1_300210"         -3.079424572240805e+14          1          5          6          3          0          0          2          1          0
 "C1_300120"          5.298290516441255e+11          1          5          6          3          0          0          1          2          0
 "C1_300030"          3.256176825627497e+11          1          5          6          3          0          0          0          3          0
 "C1_240000"          1.083263877577619e+16          1          5          6          2          4          0          0          0          0
 "C1_231000"          1.833338391896326e+07          1          5          6          2          3          1          0          0          0
 "C1_230100"         -8.215015401427588e+09          1          5          6          2          3          0          1          0          0
 "C1_230010"          2.237862852376723e+16          1          5          6          2          3          0          0          1          0
 "C1_222000"          6.841053333848212e+13          1          5          6          2          2          2          0          0          0
 "C1_221100"         -7.151048077535187e+15          1          5          6          2          2          1          1          0          0
 "C1_221010"          2.805907793880655e+13          1          5          6          2          2          1          0          1          0
 "C1_220200"          1.644759515716388e+17          1          5          6          2          2          0          2          0          0
 "C1_220110"         -1.792039825900465e+15          1          5          6          2          2          0          1          1          0
 "C1_220020"         -9.747275767289591e+14          1          5          6          2          2          0          0          2          0
 "C1_213000"         -6.572845232408808e+04          1          5          6          2          1          3          0          0          0
 "C1_212100"          1.088852802804250e+07          1          5          6          2          1          2          1          0          0
 "C1_212010"         -7.043233791869236e+11          1          5          6          2          1          2          0          1          0
